Topic,Model1,Model2,AverageSimilarity
-1,flan_lnp,flan_lnp,0.90773445
-1,flan_lnp,flan_snp,0.94572616
-1,flan_lnp,openai4m_lnp,0.56966674
-1,flan_lnp,openai4m_snp,0.6870957
-1,flan_lnp,openai4o_lnp,0.5244156
-1,flan_lnp,openai4o_snp,0.68363845
-1,flan_snp,flan_lnp,0.94572616
-1,flan_snp,flan_snp,1.0000001
-1,flan_snp,openai4m_lnp,0.57239485
-1,flan_snp,openai4m_snp,0.717877
-1,flan_snp,openai4o_lnp,0.52222687
-1,flan_snp,openai4o_snp,0.71812606
-1,openai4m_lnp,flan_lnp,0.56966674
-1,openai4m_lnp,flan_snp,0.57239485
-1,openai4m_lnp,openai4m_lnp,0.99999994
-1,openai4m_lnp,openai4m_snp,0.8467437
-1,openai4m_lnp,openai4o_lnp,0.95024645
-1,openai4m_lnp,openai4o_snp,0.8737266
-1,openai4m_snp,flan_lnp,0.6870957
-1,openai4m_snp,flan_snp,0.717877
-1,openai4m_snp,openai4m_lnp,0.8467437
-1,openai4m_snp,openai4m_snp,0.93322295
-1,openai4m_snp,openai4o_lnp,0.78326964
-1,openai4m_snp,openai4o_snp,0.96148664
-1,openai4o_lnp,flan_lnp,0.5244156
-1,openai4o_lnp,flan_snp,0.5222268
-1,openai4o_lnp,openai4m_lnp,0.95024645
-1,openai4o_lnp,openai4m_snp,0.78326964
-1,openai4o_lnp,openai4o_lnp,0.9294835
-1,openai4o_lnp,openai4o_snp,0.8066638
-1,openai4o_snp,flan_lnp,0.68363845
-1,openai4o_snp,flan_snp,0.71812606
-1,openai4o_snp,openai4m_lnp,0.8737266
-1,openai4o_snp,openai4m_snp,0.96148664
-1,openai4o_snp,openai4o_lnp,0.8066639
-1,openai4o_snp,openai4o_snp,0.9968193
0,flan_lnp,flan_lnp,1.0000001
0,flan_lnp,flan_snp,1.0000001
0,flan_lnp,openai4m_lnp,0.88402253
0,flan_lnp,openai4m_snp,0.899677
0,flan_lnp,openai4o_lnp,0.8877063
0,flan_lnp,openai4o_snp,0.9043497
0,flan_snp,flan_lnp,1.0000001
0,flan_snp,flan_snp,1.0000001
0,flan_snp,openai4m_lnp,0.88402253
0,flan_snp,openai4m_snp,0.899677
0,flan_snp,openai4o_lnp,0.8877063
0,flan_snp,openai4o_snp,0.9043497
0,openai4m_lnp,flan_lnp,0.88402253
0,openai4m_lnp,flan_snp,0.88402253
0,openai4m_lnp,openai4m_lnp,0.9771161
0,openai4m_lnp,openai4m_snp,0.9213072
0,openai4m_lnp,openai4o_lnp,0.9716083
0,openai4m_lnp,openai4o_snp,0.91867673
0,openai4m_snp,flan_lnp,0.8996769
0,openai4m_snp,flan_snp,0.8996769
0,openai4m_snp,openai4m_lnp,0.9213072
0,openai4m_snp,openai4m_snp,0.99963075
0,openai4m_snp,openai4o_lnp,0.9213222
0,openai4m_snp,openai4o_snp,0.99507326
0,openai4o_lnp,flan_lnp,0.8877063
0,openai4o_lnp,flan_snp,0.8877063
0,openai4o_lnp,openai4m_lnp,0.9716083
0,openai4o_lnp,openai4m_snp,0.9213222
0,openai4o_lnp,openai4o_lnp,0.966765
0,openai4o_lnp,openai4o_snp,0.9189563
0,openai4o_snp,flan_lnp,0.90434974
0,openai4o_snp,flan_snp,0.90434974
0,openai4o_snp,openai4m_lnp,0.91867673
0,openai4o_snp,openai4m_snp,0.99507326
0,openai4o_snp,openai4o_lnp,0.9189562
0,openai4o_snp,openai4o_snp,0.9910032
1,flan_lnp,flan_lnp,0.80600065
1,flan_lnp,flan_snp,0.80600065
1,flan_lnp,openai4m_lnp,0.59323084
1,flan_lnp,openai4m_snp,0.6755829
1,flan_lnp,openai4o_lnp,0.5914433
1,flan_lnp,openai4o_snp,0.6658432
1,flan_snp,flan_lnp,0.80600065
1,flan_snp,flan_snp,0.80600065
1,flan_snp,openai4m_lnp,0.59323084
1,flan_snp,openai4m_snp,0.6755829
1,flan_snp,openai4o_lnp,0.5914433
1,flan_snp,openai4o_snp,0.6658432
1,openai4m_lnp,flan_lnp,0.59323084
1,openai4m_lnp,flan_snp,0.59323084
1,openai4m_lnp,openai4m_lnp,0.7636969
1,openai4m_lnp,openai4m_snp,0.65616226
1,openai4m_lnp,openai4o_lnp,0.7636402
1,openai4m_lnp,openai4o_snp,0.6448451
1,openai4m_snp,flan_lnp,0.6755829
1,openai4m_snp,flan_snp,0.6755829
1,openai4m_snp,openai4m_lnp,0.6561622
1,openai4m_snp,openai4m_snp,0.7353725
1,openai4m_snp,openai4o_lnp,0.6555933
1,openai4m_snp,openai4o_snp,0.73680514
1,openai4o_lnp,flan_lnp,0.59144324
1,openai4o_lnp,flan_snp,0.59144324
1,openai4o_lnp,openai4m_lnp,0.7636403
1,openai4o_lnp,openai4m_snp,0.6555933
1,openai4o_lnp,openai4o_lnp,0.76395124
1,openai4o_lnp,openai4o_snp,0.64432466
1,openai4o_snp,flan_lnp,0.6658432
1,openai4o_snp,flan_snp,0.6658432
1,openai4o_snp,openai4m_lnp,0.6448451
1,openai4o_snp,openai4m_snp,0.736805
1,openai4o_snp,openai4o_lnp,0.64432454
1,openai4o_snp,openai4o_snp,0.751136
2,flan_lnp,flan_lnp,1.0
2,flan_lnp,flan_snp,1.0
2,flan_lnp,openai4m_lnp,0.849347
2,flan_lnp,openai4m_snp,0.94375247
2,flan_lnp,openai4o_lnp,0.851022
2,flan_lnp,openai4o_snp,0.5252967
