model_source,temperature1,temperature2,AverageSimilarity
flan,0.0,0.0,1.0
flan,0.0,0.25,1.0
flan,0.0,0.5,1.0
flan,0.0,0.75,0.9923696
flan,0.0,1.0,0.9608222
flan,0.0,1.25,0.92833316
flan,0.0,1.5,0.8901472
flan,0.0,1.75,0.7857135
flan,0.0,2.0,0.79708433
flan,0.25,0.0,1.0
flan,0.25,0.25,1.0
flan,0.25,0.5,1.0
flan,0.25,0.75,0.9923696
flan,0.25,1.0,0.9608222
flan,0.25,1.25,0.92833316
flan,0.25,1.5,0.8901472
flan,0.25,1.75,0.7857135
flan,0.25,2.0,0.79708433
flan,0.5,0.0,1.0
flan,0.5,0.25,1.0
flan,0.5,0.5,1.0
flan,0.5,0.75,0.9923696
flan,0.5,1.0,0.9608222
flan,0.5,1.25,0.92833316
flan,0.5,1.5,0.8901472
flan,0.5,1.75,0.7857135
flan,0.5,2.0,0.79708433
flan,0.75,0.0,0.9923696
flan,0.75,0.25,0.9923696
flan,0.75,0.5,0.9923696
flan,0.75,0.75,1.0
flan,0.75,1.0,0.9531918
flan,0.75,1.25,0.92885023
flan,0.75,1.5,0.8977775
flan,0.75,1.75,0.78751403
flan,0.75,2.0,0.80471474
flan,1.0,0.0,0.9608222
flan,1.0,0.25,0.9608222
flan,1.0,0.5,0.9608222
flan,1.0,0.75,0.9531918
flan,1.0,1.0,1.0
flan,1.0,1.25,0.9081066
flan,1.0,1.5,0.8701393
flan,1.0,1.75,0.7924695
flan,1.0,2.0,0.7873283
flan,1.25,0.0,0.92833316
flan,1.25,0.25,0.92833316
flan,1.25,0.5,0.92833316
flan,1.25,0.75,0.92885023
flan,1.25,1.0,0.9081066
flan,1.25,1.25,1.0
flan,1.25,1.5,0.8490702
flan,1.25,1.75,0.7755392
flan,1.25,2.0,0.7805783
flan,1.5,0.0,0.8901472
flan,1.5,0.25,0.8901472
flan,1.5,0.5,0.8901472
flan,1.5,0.75,0.8977775
flan,1.5,1.0,0.8701393
flan,1.5,1.25,0.8490702
flan,1.5,1.5,1.0
flan,1.5,1.75,0.74858177
flan,1.5,2.0,0.7516526
flan,1.75,0.0,0.7857135
flan,1.75,0.25,0.7857135
flan,1.75,0.5,0.7857135
flan,1.75,0.75,0.78751403
flan,1.75,1.0,0.7924695
flan,1.75,1.25,0.7755392
flan,1.75,1.5,0.74858177
flan,1.75,1.75,1.0
flan,1.75,2.0,0.7082399
flan,2.0,0.0,0.79708433
flan,2.0,0.25,0.79708433
flan,2.0,0.5,0.79708433
flan,2.0,0.75,0.80471474
flan,2.0,1.0,0.7873283
flan,2.0,1.25,0.7805783
flan,2.0,1.5,0.7516526
flan,2.0,1.75,0.7082399
flan,2.0,2.0,1.0
gpt4omini,0.0,0.0,0.98438984
gpt4omini,0.0,0.25,0.9734185
gpt4omini,0.0,0.5,0.95305556
gpt4omini,0.0,0.75,0.9297861
gpt4omini,0.0,1.0,0.907216
gpt4omini,0.0,1.25,0.89456457
gpt4omini,0.0,1.5,0.8689694
gpt4omini,0.0,1.75,0.85235316
gpt4omini,0.0,2.0,0.76960355
gpt4omini,0.25,0.0,0.9734185
gpt4omini,0.25,0.25,0.96783525
gpt4omini,0.25,0.5,0.94864136
gpt4omini,0.25,0.75,0.9263789
gpt4omini,0.25,1.0,0.90431935
gpt4omini,0.25,1.25,0.892496
gpt4omini,0.25,1.5,0.86761725
gpt4omini,0.25,1.75,0.84930325
gpt4omini,0.25,2.0,0.76865363
gpt4omini,0.5,0.0,0.95305556
gpt4omini,0.5,0.25,0.94864136
gpt4omini,0.5,0.5,0.9393587
gpt4omini,0.5,0.75,0.91775507
gpt4omini,0.5,1.0,0.89791423
gpt4omini,0.5,1.25,0.88761306
gpt4omini,0.5,1.5,0.8643031
gpt4omini,0.5,1.75,0.846278
gpt4omini,0.5,2.0,0.7666783
gpt4omini,0.75,0.0,0.9297861
gpt4omini,0.75,0.25,0.9263789
gpt4omini,0.75,0.5,0.91775507
gpt4omini,0.75,0.75,0.90837777
gpt4omini,0.75,1.0,0.88761866
gpt4omini,0.75,1.25,0.87730813
gpt4omini,0.75,1.5,0.85612464
gpt4omini,0.75,1.75,0.8394337
gpt4omini,0.75,2.0,0.76262796
gpt4omini,1.0,0.0,0.907216
gpt4omini,1.0,0.25,0.90431935
gpt4omini,1.0,0.5,0.89791423
gpt4omini,1.0,0.75,0.88761866
gpt4omini,1.0,1.0,0.88552624
gpt4omini,1.0,1.25,0.86740464
gpt4omini,1.0,1.5,0.84979796
gpt4omini,1.0,1.75,0.83197314
gpt4omini,1.0,2.0,0.7580124
gpt4omini,1.25,0.0,0.89456457
gpt4omini,1.25,0.25,0.892496
gpt4omini,1.25,0.5,0.88761306
gpt4omini,1.25,0.75,0.87730813
gpt4omini,1.25,1.0,0.86740464
gpt4omini,1.25,1.25,0.86608094
gpt4omini,1.25,1.5,0.8421524
gpt4omini,1.25,1.75,0.8258661
gpt4omini,1.25,2.0,0.75437564
gpt4omini,1.5,0.0,0.8689694
gpt4omini,1.5,0.25,0.8676172
gpt4omini,1.5,0.5,0.8643031
gpt4omini,1.5,0.75,0.85612464
gpt4omini,1.5,1.0,0.84979796
gpt4omini,1.5,1.25,0.8421524
gpt4omini,1.5,1.5,0.8360964
gpt4omini,1.5,1.75,0.81221956
gpt4omini,1.5,2.0,0.7430677
gpt4omini,1.75,0.0,0.85235316
gpt4omini,1.75,0.25,0.84930325
gpt4omini,1.75,0.5,0.846278
gpt4omini,1.75,0.75,0.8394337
gpt4omini,1.75,1.0,0.83197314
gpt4omini,1.75,1.25,0.8258661
gpt4omini,1.75,1.5,0.8122195
gpt4omini,1.75,1.75,0.80835575
gpt4omini,1.75,2.0,0.7320387
gpt4omini,2.0,0.0,0.76960355
gpt4omini,2.0,0.25,0.76865363
gpt4omini,2.0,0.5,0.7666783
gpt4omini,2.0,0.75,0.76262796
gpt4omini,2.0,1.0,0.7580124
gpt4omini,2.0,1.25,0.75437564
gpt4omini,2.0,1.5,0.7430677
gpt4omini,2.0,1.75,0.7320387
gpt4omini,2.0,2.0,0.69583535
