Topic,temperature1,temperature2,AverageSimilarity
-1,0.0,0.0,1.0000001
-1,0.0,0.25,1.0000001
-1,0.0,0.5,0.9934519
-1,0.0,0.75,0.99607116
-1,0.0,1.0,0.9908325
-1,0.0,1.25,0.9921422
-1,0.0,1.5,0.98820597
-1,0.0,1.75,0.99607116
-1,0.0,2.0,0.97230864
-1,0.25,0.0,1.0000001
-1,0.25,0.25,1.0000001
-1,0.25,0.5,0.9934519
-1,0.25,0.75,0.99607116
-1,0.25,1.0,0.9908325
-1,0.25,1.25,0.9921422
-1,0.25,1.5,0.98820597
-1,0.25,1.75,0.99607116
-1,0.25,2.0,0.97230864
-1,0.5,0.0,0.99345183
-1,0.5,0.25,0.99345183
-1,0.5,0.5,0.99017775
-1,0.5,0.75,0.99148744
-1,0.5,1.0,0.9888681
-1,0.5,1.25,0.9895229
-1,0.5,1.5,0.9875403
-1,0.5,1.75,0.99148744
-1,0.5,2.0,0.9711248
-1,0.75,0.0,0.99607116
-1,0.75,0.25,0.99607116
-1,0.75,0.5,0.99148744
-1,0.75,0.75,0.99332094
-1,0.75,1.0,0.98965394
-1,0.75,1.25,0.99057066
-1,0.75,1.5,0.98780656
-1,0.75,1.75,0.99332094
-1,0.75,2.0,0.97159827
-1,1.0,0.0,0.9908325
-1,1.0,0.25,0.9908325
-1,1.0,0.5,0.988868
-1,1.0,0.75,0.9896538
-1,1.0,1.0,0.9880822
-1,1.0,1.25,0.9884752
-1,1.0,1.5,0.987274
-1,1.0,1.75,0.98965377
-1,1.0,2.0,0.97065127
-1,1.25,0.0,0.9921422
-1,1.25,0.25,0.9921422
-1,1.25,0.5,0.9895229
-1,1.25,0.75,0.9905706
-1,1.25,1.0,0.9884752
-1,1.25,1.25,0.988999
-1,1.25,1.5,0.98740715
-1,1.25,1.75,0.99057066
-1,1.25,2.0,0.97088796
-1,1.5,0.0,0.988206
-1,1.5,0.25,0.988206
-1,1.5,0.5,0.98754036
-1,1.5,0.75,0.98780656
-1,1.5,1.0,0.987274
-1,1.5,1.25,0.9874072
-1,1.5,1.5,0.9869861
-1,1.5,1.75,0.98780656
-1,1.5,2.0,0.97015566
-1,1.75,0.0,0.99607116
-1,1.75,0.25,0.99607116
-1,1.75,0.5,0.99148744
-1,1.75,0.75,0.99332094
-1,1.75,1.0,0.98965377
-1,1.75,1.25,0.99057055
-1,1.75,1.5,0.98780656
-1,1.75,1.75,0.99332094
-1,1.75,2.0,0.97159827
-1,2.0,0.0,0.9723085
-1,2.0,0.25,0.9723085
-1,2.0,0.5,0.9711247
-1,2.0,0.75,0.97159827
-1,2.0,1.0,0.97065127
-1,2.0,1.25,0.97088796
-1,2.0,1.5,0.97015566
-1,2.0,1.75,0.97159827
-1,2.0,2.0,0.95557904
0,0.0,0.0,1.0
0,0.0,0.25,0.9932469
0,0.0,0.5,0.9556999
0,0.0,0.75,0.9594816
0,0.0,1.0,0.9117131
0,0.0,1.25,0.89884317
0,0.0,1.5,0.8962283
0,0.0,1.75,0.88938963
0,0.0,2.0,0.77711797
0,0.25,0.0,0.9932469
0,0.25,0.25,0.9871692
0,0.25,0.5,0.95306593
0,0.25,0.75,0.9567804
0,0.25,1.0,0.9101651
0,0.25,1.25,0.8964523
0,0.25,1.5,0.89321655
0,0.25,1.75,0.8883133
0,0.25,2.0,0.77498734
0,0.5,0.0,0.95569986
0,0.5,0.25,0.95306593
0,0.5,0.5,0.93689644
0,0.5,0.75,0.9398962
0,0.5,1.0,0.89941114
0,0.5,1.25,0.88295335
0,0.5,1.5,0.876463
0,0.5,1.75,0.8817668
0,0.5,2.0,0.7647217
0,0.75,0.0,0.9594815
0,0.75,0.25,0.95678025
0,0.75,0.5,0.9398962
0,0.75,0.75,0.94327414
0,0.75,1.0,0.902425
0,0.75,1.25,0.8844984
0,0.75,1.5,0.8781578
0,0.75,1.75,0.88293123
0,0.75,2.0,0.764334
0,1.0,0.0,0.91171294
0,1.0,0.25,0.91016495
0,1.0,0.5,0.89941114
0,1.0,0.75,0.902425
0,1.0,1.0,0.872014
0,1.0,1.25,0.85209394
0,1.0,1.5,0.84291595
0,1.0,1.75,0.85058504
0,1.0,2.0,0.74072945
0,1.25,0.0,0.89884305
0,1.25,0.25,0.8964523
0,1.25,0.5,0.88295335
0,1.25,0.75,0.8844984
0,1.25,1.0,0.85209394
0,1.25,1.25,0.8412607
0,1.25,1.5,0.8323056
0,1.25,1.75,0.8391957
0,1.25,2.0,0.7382887
0,1.5,0.0,0.89622825
0,1.5,0.25,0.89321655
0,1.5,0.5,0.876463
0,1.5,0.75,0.87815785
